"DIN605def"
"Dia","P","b1","b2","b3","dk_max","dk_min","ds_max","ds_min","fn_max","fn_min","r","v_max","v_min"
"M6",1,18,24,24,16.55,15.45,6,5.52,7.45,6.55,0.9,6.48,5.52
"M8",1.25,22,28,41,20.65,19.35,8,7.42,9.45,8.55,1.2,8.58,7.42
"M10",1.5,26,32,45,24.65,23.35,10,9.42,11.55,9.45,1.5,10.58,9.42

"DIN605length"
"Nominal","Min","Max"
"30",28.95,31.05
"35",33.75,36.25
"40",38.75,41.25
"45",43.75,46.25
"50",48.75,51.25
"55",53.50,56.50
"60",58.50,61.50
"65",63.50,66.50
"70",68.50,71.50
"80",78.50,81.50
"90",88.75,91.75
"100",98.25,101.75
"110",108.25,111.75
"120",118.25,121.75
"130",128,132
"140",138,142
"150",148,152
"160",156,164
"180",176,184
"200",195.4,204.6

"DIN605range"
"Dia","Min_L","Max_L"
"M6","30","200"
"M8","30","200"
"M10","40","200"
